entry_ts,exit_ts,symbol,qty,entry_price,exit_price,pnl,hold_sec,hold_min,exit_reason,trailed,entry_score,era,symbol_resolved
2026-04-10 10:16:13,2026-04-10 10:56:17,QQQ,1.361319,612.09,612.082654,-0.01,2404.3,40.07,trend_break,0,0.000934,legacy,logged
2026-04-16 13:19:15,2026-04-16 13:19:30,SPY,1.190085,700.18,700.163194,-0.02,14.9,0.25,trend_break,0,-0.000539,legacy,logged
2026-04-16 13:26:15,2026-04-16 13:57:21,SPY,1.189032,700.8,700.522463,-0.33,1866.7,31.11,trend_break,0,0.000975,legacy,logged
2026-04-16 13:34:12,2026-04-16 13:58:23,IWM,3.095167,269.22,268.871069,-1.08,1450.4,24.17,trend_break,0,-3.2e-05,legacy,logged
2026-04-16 14:05:12,2026-04-16 14:11:22,IWM,3.095627,269.186461,269.050786,-0.42,370.2,6.17,trend_break,0,-0.000255,legacy,logged
2026-04-16 14:17:11,2026-04-16 14:25:18,IWM,3.093214,269.39,269.089342,-0.93,487.4,8.12,trend_break,0,4.6e-05,legacy,logged
2026-04-16 15:09:28,2026-04-17 13:13:48,IWM,3.088055,269.853524,276.890316,21.73,79460.3,1324.34,take_profit,0,0.002125,legacy,logged
2026-04-16 14:32:21,2026-04-17 13:14:01,QQQ,1.305339,638.32,648.968575,13.9,81700.3,1361.67,take_profit,0,-0.000139,legacy,logged
2026-04-16 14:42:16,2026-04-17 13:14:15,SPY,1.188981,700.8,711.212277,12.38,81119.5,1351.99,take_profit,0,0.000382,legacy,logged
2026-04-17 13:20:17,2026-04-17 13:20:43,IWM,3.010296,276.826644,276.82,-0.02,26.1,0.44,trend_break,0,-0.000566,legacy,logged
2026-04-17 13:52:14,2026-04-17 13:59:15,IWM,3.014653,276.42,275.965553,-1.37,420.5,7.01,trend_break,0,0.000276,legacy,logged
2026-04-17 14:18:22,2026-04-17 14:22:22,SPY,1.173988,709.75,709.290029,-0.54,239.5,3.99,trend_break,0,-0.000466,legacy,logged
2026-04-17 14:18:11,2026-04-17 14:41:19,IWM,3.023513,275.62,275.500933,-0.36,1388.3,23.14,trend_break,0,-0.000259,legacy,logged
